,title,address,price,price_m2,area_m2,rooms,floor,outdoors,parking,market,build_yr,building_type,elevator,heating_type
557,"Apartament z widokiem na morze, k. Gdyni","Ogrody Tesoro, Gdynia, pomorskie",618 400 zł,9 230 zł/m²,67,3,"Piętro
1/1","ogródek, taras",garaż/miejsce parkingowe,pierwotny,2021,apartamentowiec,nie,gazowe
558,"Mieszkanie z ogródkiem, Pogórze, Gdynia","Aleja Iberyjska, Gdynia, pomorskie",677 000 zł,8 463 zł/m²,80,4,"Piętro
parter/1","ogródek, taras",garaż/miejsce parkingowe,pierwotny,2021,dom,nie,gazowe
559,Gdynia - 2 pok. mieszkanie blisko centrum!,"Gdynia, Chylonia, Kartuska",429 000 zł,10 463 zł/m²,41,2,"Piętro
1/4",balkon,zapytaj,wtórny,brak,blok,nie,zapytaj
560,"3 pokoje przy lesie, blisko centrum, Spółdz.Własn.","Gdynia, Witomino, Nauczycielska",497 000 zł,9 558 zł/m²,52,3,"Piętro
1/4",balkon,zapytaj,wtórny,brak,blok,nie,miejskie
561,Duże mieszkanie Gdynia Działki Leśne- widok,"Gdynia, Działki Leśne, ul. Pomorska",589 000 zł,8 487 zł/m²,"69,4",4,"Piętro
4/4",zapytaj,zapytaj,wtórny,1991,blok,nie,miejskie
562,Mieszkanie - Gdynia Leszczynki,"Gdynia, Leszczynki",489 000 zł,7 762 zł/m²,63,3,"Piętro
2/4",zapytaj,zapytaj,wtórny,1961,blok,nie,miejskie
563,"Apartament 10 minut od plaży, Bank Polski 1929","Gdynia, Śródmieście",830 000 zł,19 866 zł/m²,"41,78",2,"Piętro
zapytaj",zapytaj,garaż/miejsce parkingowe,wtórny,2022,apartamentowiec,tak,miejskie
564,Atrakcyjne mieszkanie po remoncie w centrum Gdyni!,"Gdynia, Działki Leśne",589 000 zł,9 232 zł/m²,"63,8",3,"Piętro
2/3",zapytaj,zapytaj,wtórny,1960,brak,nie,miejskie
565,Mieszkanie do własnej aranżacji Gdynia Karwiny!,"Gdynia, Karwiny",460 000 zł,7 287 zł/m²,"63,13",3,"Piętro
4/4",zapytaj,zapytaj,wtórny,1980,blok,nie,miejskie
566,Komfortowe mieszkanie Horyzonty Gdyni,"ul. Bronisława Dembińskiego, Gdynia, pomorskie",760 000 zł,11 111 zł/m²,"68,4",3,"Piętro
4/5",taras,garaż/miejsce parkingowe,wtórny,2012,blok,tak,miejskie
567,"Mieszkanie pod inwestycję, ścisłe centrum Gdyni!","Gdynia, Śródmieście, Żwirki i Wigury",449 000 zł,13 052 zł/m²,"34,4",2,"Piętro
2/4",zapytaj,zapytaj,wtórny,1960,brak,nie,zapytaj
568,Rozkładowe 3 pokoje z balkonem,"Gdynia, Grabówek, Stefana Ramułta",450 000 zł,7 500 zł/m²,60,3,"Piętro
3/10",balkon,zapytaj,wtórny,1970,blok,tak,miejskie
569,3 pokoje z potencjałem,"Gdynia, Grabówek, Morska",579 000 zł,7 843 zł/m²,"73,82",3,"Piętro
parter/2",balkon,garaż/miejsce parkingowe,wtórny,1920,kamienica,nie,elektryczne
570,2 pokoje / obok Uniwersytetu / 5 min do centrum,"Gdynia, Grabówek",390 000 zł,10 627 zł/m²,"36,7",2,"Piętro
2/5",zapytaj,garaż/miejsce parkingowe,wtórny,1960,blok,nie,elektryczne
571,Mieszkanie Gdynia Karwiny- wyłączność,"Gdynia, Karwiny",430 000 zł,8 500 zł/m²,"50,59",2,"Piętro
4/4",balkon,garaż/miejsce parkingowe,wtórny,1988,blok,nie,miejskie
572,Mieszkanie 2-pok. | BALKON | NOWY ETAP,"Gdynia, Chylonia, ul. Chylońska 104 -110",Zapytaj o cenę,,"43,63",2,"Piętro
1/7",balkon,garaż/miejsce parkingowe,pierwotny,2022,blok,tak,miejskie
573,Mieszkanie 3-pok. | Balkon | SKM | Odbiór w 2022,"Gdynia, Chylonia, ul. Chylońska 104 -110",512 082 zł,8 100 zł/m²,"63,22",3,"Piętro
1/6",zapytaj,garaż/miejsce parkingowe,pierwotny,2022,blok,tak,zapytaj
574,Mieszkanie 65m2- Wysoki standard,"Gdynia, Karwiny, ul. Leopolda Staffa",580 000 zł,8 923 zł/m²,65,3,"Piętro
4/4",balkon,zapytaj,wtórny,brak,blok,nie,miejskie
575,Nowoczesy Apartament 3 pokoje Gdynia Orłowo 83m2,"Gdynia, Orłowo, Kolibki",1 990 000 zł,23 976 zł/m²,83,3,"Piętro
2/2","balkon, taras",garaż/miejsce parkingowe,wtórny,2017,apartamentowiec,tak,miejskie
576,Wyjątkowa inwestycja/3pokoje/Gdynia,"Gdynia, Działki Leśne",1 399 000 zł,17 208 zł/m²,"81,3",3,"Piętro
1/2",balkon,garaż/miejsce parkingowe,pierwotny,brak,apartamentowiec,tak,zapytaj
577,Dwupoziomowe mieszkanie z garażem i 2 piwnicami,"Gdynia, Dąbrowa, Gorczycowa",869 000 zł,5 639 zł/m²,"154,1",5,"Piętro
3/4",balkon,garaż/miejsce parkingowe,wtórny,1995,blok,nie,miejskie
578,Piękne mieszkanie w nowej inwestycji blisko morza,"Gdynia, Oksywie, inż. J. Śmidowicza",380 000 zł,11 463 zł/m²,"33,15",2,"Piętro
2/3",balkon,garaż/miejsce parkingowe,wtórny,2021,apartamentowiec,nie,miejskie
579,Trzypokojowe Mieszkanie z ogródkiem Solano | M95,"ul. Strzelców, Gdynia, pomorskie",Zapytaj o cenę,,"68,94",3,"Piętro
parter","ogródek, taras",garaż/miejsce parkingowe,pierwotny,2024,brak,tak,zapytaj
580,Nowa inwestycja !!! Twoja Dąbrowa !!!,"Gdynia, Dąbrowa",539 334 zł,11 400 zł/m²,"47,31",2,"Piętro
parter/3",balkon,garaż/miejsce parkingowe,pierwotny,2022,apartamentowiec,tak,miejskie
581,Kameralna inwestycja w otulinie lasu,"Gdynia, Mały Kack",550 000 zł,13 854 zł/m²,"39,7",2,"Piętro
3/3",balkon,garaż/miejsce parkingowe,pierwotny,2022,blok,tak,miejskie
582,Dwupokojowe z nową kuchnią !!!! do wprowadzenia z,"Gdynia, Karwiny, Damroki",486 900 zł,9 600 zł/m²,"50,72",2,"Piętro
2/3",balkon,zapytaj,wtórny,1998,blok,nie,miejskie
583,Gdynia 2 Pok Wzgórze Św. Maksymiliana Inwestycja,"Gdynia, Wzgórze Św. Maksymiliana, bp. Dominika",615 000 zł,11 942 zł/m²,"51,5",2,"Piętro
2/4",zapytaj,zapytaj,wtórny,1965,blok,nie,miejskie
584,Wyjątkowe 2 pok. mieszkanie Gdynia Chylonia!,"Gdynia, Chylonia, Lubawska",436 000 zł,11 945 zł/m²,"36,5",2,"Piętro
4/10",balkon,zapytaj,wtórny,brak,blok,tak,zapytaj
585,3 pokoje blisko z widokiem na panoramę miasta,"Gdynia, Cisowa, Owsiana",419 000 zł,7 788 zł/m²,"53,8",3,"Piętro
6/11",zapytaj,garaż/miejsce parkingowe,wtórny,brak,blok,tak,miejskie
586,Apartament Z Antresolą I Dwoma Tarasami.,"Gdynia, Chwarzno-Wiczlino, Wiczlino, Stanisława Filipkowskiego",689 000 zł,10 937 zł/m²,63,3,"Piętro
3/3",zapytaj,garaż/miejsce parkingowe,wtórny,2017,blok,tak,zapytaj
587,2 Pok. |Narożne | Wykończone | Cicha okolica,"Gdynia, Pogórze",469 000 zł,10 950 zł/m²,"42,83",2,"Piętro
2/4",balkon,garaż/miejsce parkingowe,pierwotny,2015,brak,tak,zapytaj
588,2 duże pokoje z oddzielną kuchnią,"Gdynia, Grabówek, Stefana Okrzei",507 000 zł,7 988 zł/m²,"63,47",2,"Piętro
1/4",zapytaj,zapytaj,wtórny,1936,blok,nie,miejskie
589,Mieszkanie - Gdynia Działki Leśne,"Gdynia, Działki Leśne, Wolności",1 199 000 zł,16 492 zł/m²,"72,7",3,"Piętro
1/2",balkon,garaż/miejsce parkingowe,pierwotny,2021,brak,nie,zapytaj
590,Czteropokojowy apartament Gdynia Orłowo,"Gdynia, Orłowo, Wrocławska",1 028 027 zł,14 300 zł/m²,"71,89",4,"Piętro
2/3",balkon,garaż/miejsce parkingowe,pierwotny,2021,apartamentowiec,tak,zapytaj
591,Mieszkanie - Gdynia Działki Leśne,"Gdynia, Działki Leśne, Wolności",1 399 000 zł,17 208 zł/m²,"81,3",3,"Piętro
1/2",balkon,garaż/miejsce parkingowe,pierwotny,2021,brak,nie,zapytaj
592,Komfortowy apartament z ogrodem i widokiem na las.,"Gdynia, Dąbrowa, Rdestowa",2 646 000 zł,18 000 zł/m²,147,4,"Piętro
parter/4","ogródek, taras",garaż/miejsce parkingowe,wtórny,2020,apartamentowiec,tak,miejskie
593,2 oddzielne pokoje na Kamiennej Górze w Gdyni!,"Gdynia, Kamienna Góra, Józefa Bema",535 000 zł,12 251 zł/m²,"43,67",2,"Piętro
1/4",balkon,garaż/miejsce parkingowe,wtórny,1950,brak,nie,zapytaj
594,"Nowa cena! Pustki Cisowskie - 4 pokoje 79,73 m2","Gdynia, Pustki Cisowskie-Demptowo, Pustki Cisowskie",565 000 zł,7 086 zł/m²,"79,73",4,"Piętro
parter/4",balkon,zapytaj,wtórny,1985,blok,nie,miejskie
595,2-pok.apartament w Sea Towers z widokiem na morze!,"Gdynia, Śródmieście, A. Hryniewickiego",1 369 000 zł,29 826 zł/m²,"45,9",2,"Piętro
> 10/28",balkon,garaż/miejsce parkingowe,wtórny,2009,apartamentowiec,tak,miejskie
596,Nadmorska kawalerka w Gdyni z szybkim wydaniem,"Gdynia, Chylonia, ul. Morska 210",294 000 zł,10 055 zł/m²,"29,24",1,"Piętro
3/4",balkon,garaż/miejsce parkingowe,wtórny,1973,blok,nie,miejskie
597,3 Pokoje Nad Morzem,"Gdynia, Wzgórze Św. Maksymiliana, Stanisława Wyspiańskiego",699 000 zł,12 897 zł/m²,"54,2",3,"Piętro
2/10",balkon,garaż/miejsce parkingowe,wtórny,1972,blok,tak,miejskie
598,Gdynia Karwiny Super lokalizacja,"Gdynia, Karwiny, STAFFA LEOPOLDA",437 000 zł,8 230 zł/m²,"53,1",3,"Piętro
1/11",balkon,zapytaj,wtórny,1984,blok,tak,miejskie
599,2-pok.mieszkanie na os.Nawigator w Gdyni na Obłużu,"Gdynia, Obłuże, Boisko",519 000 zł,10 672 zł/m²,"48,63",2,"Piętro
4/4",balkon,garaż/miejsce parkingowe,wtórny,2015,blok,tak,miejskie
600,Mieszkanie w centrum - Hot Oferta pod inwestycję,"Gdynia, Śródmieście, Władysława IV",719 000 zł,8 202 zł/m²,"87,66",3,"Piętro
4/4",zapytaj,zapytaj,wtórny,1931,kamienica,nie,gazowe
601,Piękne mieszkanie z wysokimi sufitami - Gdynia,"Gdynia, Leszczynki",435 000 zł,8 056 zł/m²,54,3,"Piętro
parter/4",zapytaj,garaż/miejsce parkingowe,wtórny,1926,kamienica,nie,miejskie
602,"Apartament 196 m2 z ogrodem, na eleganckim osiedlu","Gdynia, Mały Kack, Kłajpedzka",2 000 000 zł,10 179 zł/m²,"196,48",5,"Piętro
parter/4","ogródek, taras",garaż/miejsce parkingowe,wtórny,2006,brak,nie,zapytaj
603,"Baltiq Plaza 4-pokoje 88,4m2 balkon 2 komórki hala","Gdynia, Śródmieście, Świętojańska",2 350 000 zł,26 572 zł/m²,"88,44",4,"Piętro
2/5",zapytaj,garaż/miejsce parkingowe,wtórny,2015,apartamentowiec,tak,miejskie
604,Dwupokojowe mieszkanie z widokiem na morze.,"Gdynia, Śródmieście, Węglowa",1 550 000 zł,29 693 zł/m²,"52,2",2,"Piętro
> 10/17",balkon,garaż/miejsce parkingowe,wtórny,2020,brak,nie,zapytaj
605,Trzypokojowe w doskonałej lokalizacji.,"Gdynia, Mały Kack, Strzelców",719 000 zł,11 444 zł/m²,"62,83",3,"Piętro
2/3",zapytaj,zapytaj,wtórny,2014,blok,tak,miejskie
606,"SwpdL, do własnej aranżacji, 4 oddzielne pokoje!","Gdynia, Cisowa, Chylońska",599 000 zł,7 478 zł/m²,"80,1",4,"Piętro
2/4",balkon,zapytaj,wtórny,1980,blok,nie,miejskie
607,"Nowoczesne ,desingerskie , wyjątkowe","Gdynia, Cisowa, Janowska",619 000 zł,11 255 zł/m²,55,2,"Piętro
1/5",balkon,garaż/miejsce parkingowe,wtórny,2018,brak,nie,zapytaj
608,Duże mieszkanie na Fort Forest z widokiem na las,"Gdynia, Chwarzno-Wiczlino, ul. Czesława Niemena",1 449 000 zł,14 068 zł/m²,103,4,"Piętro
parter/3","ogródek, taras",garaż/miejsce parkingowe,wtórny,2018,blok,tak,miejskie
609,"Dla szuk. bdb lokalizacji,2 pokoje.u stóp Kam.Góry","Gdynia, Śródmieście",545 000 zł,11 596 zł/m²,47,2,"Piętro
3/4",zapytaj,zapytaj,wtórny,1959,kamienica,nie,miejskie
610,"Idealne pod wynajem, dwa pokoje, Gdynia","Gdynia, Wzgórze Św. Maksymiliana, ul. Batalionów Chłopskich 20",450 000 zł,13 235 zł/m²,34,2,"Piętro
2/3",zapytaj,zapytaj,wtórny,1950,kamienica,nie,miejskie
611,"4 pokoje 66,89 m2 - Gdynia, blisko lasu!","Gdynia, Pustki Cisowskie-Demptowo, Pustki Cisowskie, Borowikowa",530 000 zł,7 923 zł/m²,"66,89",4,"Piętro
3/3",balkon,zapytaj,wtórny,1983,blok,nie,miejskie
612,3 pokoje | balkon | duża piwnica | Oksywie,"Gdynia, Oksywie, płk. Stanisława Dąbka",495 000 zł,8 534 zł/m²,58,3,"Piętro
3/4",balkon,garaż/miejsce parkingowe,wtórny,1970,blok,nie,miejskie
613,NOWOŚĆ !! Twoja Dąbrowa !! 2 duże pokoje,"Gdynia, Dąbrowa",553 527 zł,11 700 zł/m²,"47,31",2,"Piętro
2/3",balkon,garaż/miejsce parkingowe,pierwotny,2022,apartamentowiec,tak,miejskie
614,Kameralna inwestycja w otulinie lasu,"Gdynia, Mały Kack",529 000 zł,13 325 zł/m²,"39,7",2,"Piętro
2/2",balkon,garaż/miejsce parkingowe,pierwotny,2022,blok,tak,miejskie
615,Nowe Mieszkanie Gdynia ul. Mała 19AM1,"ul. Mała, Gdynia, pomorskie",Zapytaj o cenę,,"82,46",3,"Piętro
parter",ogródek,garaż/miejsce parkingowe,pierwotny,2021,brak,nie,gazowe
616,Apartament w Nowym Orłowie,"Gdynia, Orłowo, Orłowska",3 700 000 zł,46 250 zł/m²,80,3,"Piętro
3/3",zapytaj,zapytaj,wtórny,2021,brak,nie,zapytaj
617,4 pokoje blisko morza oraz centrum,"Gdynia, Oksywie, Nasypowa",745 000 zł,12 627 zł/m²,59,4,"Piętro
3/3",balkon,zapytaj,wtórny,2018,blok,tak,miejskie
618,2-pokojowe mieszkanie na gdyńskim Grabówku,"Gdynia, Grabówek",390 000 zł,10 627 zł/m²,"36,7",2,"Piętro
2/5",zapytaj,zapytaj,wtórny,1960,brak,nie,zapytaj
619,Mieszkanie - Gdynia,"Gdynia, pomorskie",479 000 zł,11 432 zł/m²,"41,9",2,"Piętro
2/3",balkon,garaż/miejsce parkingowe,wtórny,brak,brak,nie,zapytaj
620,"Mieszkanie 95,45m2 Kameralne Pogórze","Gdynia, Pogórze",566 788 zł,5 938 zł/m²,"95,45",3,"Piętro
zapytaj","balkon, taras",garaż/miejsce parkingowe,pierwotny,2022,brak,nie,miejskie
621,"Gdynia Oksywie, 4 pokoje, garaż, widok na morze","Gdynia, Oksywie, ul. Australijska",800 000 zł,10 390 zł/m²,77,4,"Piętro
2/2",taras,garaż/miejsce parkingowe,pierwotny,2022,apartamentowiec,tak,miejskie
622,Słoneczne 2 pokojowe mieszkanie w Gdyni Chyloni,"Gdynia, Chylonia",339 999 zł,9 341 zł/m²,"36,4",2,"Piętro
4/4",zapytaj,zapytaj,wtórny,1980,brak,nie,zapytaj
623,"Mieszkanie 3 pokojowe w centrum Gdyni 64,2m2","Gdynia, Śródmieście, ul. I Armii Wojska Polskiego",770 000 zł,11 999 zł/m²,"64,17",3,"Piętro
1/10",balkon,zapytaj,wtórny,1971,blok,tak,miejskie
624,"Atrakcyjna cena, Gdynia Śródmieście, plaża.","Gdynia, Śródmieście, Św. Wojciecha 10b",1 290 000 zł,14 333 zł/m²,90,4,"Piętro
2/7",balkon,garaż/miejsce parkingowe,wtórny,2007,blok,tak,miejskie
625,Apartament 2-poziomowy w Gdyni,"Gdynia, Wzgórze Św. Maksymiliana, Górna",1 990 000 zł,12 839 zł/m²,155,4,"Piętro
2/3",balkon,garaż/miejsce parkingowe,wtórny,1992,szeregowiec,nie,gazowe
626,Mieszkanie lub szereg na Wzgórzu Św. Maksymiliana.,"Gdynia, Wzgórze Św. Maksymiliana, Górna",1 599 000 zł,10 804 zł/m²,148,4,"Piętro
parter/3",ogródek,garaż/miejsce parkingowe,wtórny,1992,szeregowiec,nie,gazowe
627,"Winda, hala garażowa, nowa dzielnica Gdyni","Gdynia, Pogórze, płk. Stanisława Dąbka","414 131,50 zł",9 710 zł/m²,"42,65",2,"Piętro
1/3","ogródek, taras",zapytaj,pierwotny,2023,blok,tak,zapytaj
628,"Ogród, winda, hala garażowa, nowa dzielnica Gdyni","Gdynia, Pogórze, płk. Stanisława Dąbka",489 477 zł,8 350 zł/m²,"58,62",3,"Piętro
parter/3","ogródek, taras",zapytaj,pierwotny,2023,blok,tak,zapytaj
629,"Piękny apartament, duży taras z widokie na las","Gdynia, Wielki Kack, Starodworcowa",1 551 013 zł,9 754 zł/m²,"159,02",5,"Piętro
1/1",taras,garaż/miejsce parkingowe,pierwotny,2022,apartamentowiec,nie,zapytaj
630,Trzypokojowe mieszkanie w Gdyni Pogórze Górne.,"Gdynia, Pogórze, kmdr. Bolesława Romanowskiego",499 000 zł,7 984 zł/m²,"62,5",3,"Piętro
1/4",balkon,garaż/miejsce parkingowe,wtórny,1990,blok,nie,miejskie
631,Słoneczne mieszkanie trzy pokojowe.,"Gdynia, Grabówek",559 000 zł,7 167 zł/m²,78,3,"Piętro
4/4",zapytaj,zapytaj,wtórny,1956,kamienica,nie,miejskie
632,Urokliwe mieszkanie dwu pokojowe,"Gdynia, Cisowa",435 000 zł,8 878 zł/m²,49,2,"Piętro
10/11",zapytaj,zapytaj,wtórny,1980,blok,tak,miejskie
633,"Apart.68m2, balkon, garaż, 2xkom. 12 piętro-widok","Gdynia, Redłowo, Legionów",1 149 000 zł,16 877 zł/m²,"68,08",3,"Piętro
> 10/15",balkon,garaż/miejsce parkingowe,wtórny,2007,apartamentowiec,tak,miejskie
634,Mieszkanie - Gdynia Grabówek,"Gdynia, Grabówek, kmdr. Przybyszewskiego",565 000 zł,7 224 zł/m²,"78,21",3,"Piętro
4/4",zapytaj,zapytaj,wtórny,1954,brak,nie,miejskie
635,"3 pok. przy parku, idealne dla rodziny, Od Zaraz","Wiejska, Gdynia, pomorskie",520 000 zł,9 455 zł/m²,55,3,"Piętro
2/10",balkon,zapytaj,wtórny,1970,blok,tak,miejskie
636,Trzypokojowe mieszkanie z dwoma ogródkami,"Gdynia, Oksywie, Nasypowa",720 000 zł,13 385 zł/m²,"53,79",3,"Piętro
parter/3",ogródek,zapytaj,wtórny,2018,blok,tak,zapytaj
637,Mieszkanie 3 pokoje w Gdyni Redłowo,"Gdynia, Redłowo, Legionów",1 130 000 zł,14 487 zł/m²,78,3,"Piętro
2/4",taras,garaż/miejsce parkingowe,wtórny,2008,blok,tak,zapytaj
638,"Przestronne mieszkanie 3 pokojowe, duży balkon.","Gdynia, Pogórze",440 000 zł,7 333 zł/m²,60,3,"Piętro
3/4",balkon,zapytaj,wtórny,1988,blok,nie,miejskie
639,"Przestronne, 4 pokojowe mieszkanie Gdynia Wiczlino","Gdynia, Chwarzno-Wiczlino, Wiczlino, Stanisława Filipkowskiego",769 000 zł,11 687 zł/m²,"65,8",4,"Piętro
1/3",balkon,garaż/miejsce parkingowe,wtórny,2011,blok,tak,miejskie
640,Mieszkanie dwupokojowe w Gdyni Orłowo,"Gdynia, Orłowo, ul. Inżynierska",719 000 zł,15 802 zł/m²,"45,5",2,"Piętro
1/2",balkon,garaż/miejsce parkingowe,wtórny,2003,apartamentowiec,nie,kotłownia
641,APARTAMENT - Modern Tower - Wzg. Św. Maksymiliana,"Gdynia, Wzgórze Św. Maksymiliana, ul. Kazimierza Górskiego",500 000 zł,12 500 zł/m²,40,2,"Piętro
3/16","balkon, taras",zapytaj,pierwotny,2021,apartamentowiec,tak,miejskie
642,"Sprzedam mieszkanie 111,17 Gdynia Bieszczadzka","Gdynia, Wielki Kack, ul. Bieszczadzka 6",850 000 zł,7 646 zł/m²,"111,17",2,"Piętro
2",balkon,garaż/miejsce parkingowe,wtórny,2020,blok,tak,zapytaj
643,"Duże, 4-pokojowe mieszkanie na Pogórzu.","Gdynia, Pogórze, Żeliwna",599 000 zł,8 557 zł/m²,70,4,"Piętro
1/10",balkon,zapytaj,wtórny,1990,blok,tak,zapytaj
644,3 pokojowe w nowym budownictwie - Grabówek!,"Gdynia, Grabówek, Komandorska",739 000 zł,12 317 zł/m²,60,3,"Piętro
1/3",balkon,garaż/miejsce parkingowe,wtórny,2008,brak,nie,zapytaj
645,"Wyjątkowe, wykończone mieszkanie z dużym tarasem","Gdynia, Chwarzno-Wiczlino, Chwarzno",799 000 zł,11 580 zł/m²,69,3,"Piętro
2/3",taras,garaż/miejsce parkingowe,wtórny,2020,apartamentowiec,tak,miejskie
646,Przestronne 3-pokojowe mieszkanie na Pogórzu,"Gdynia, Pogórze, Wiceadmirała Kazimierza Porębskiego",440 000 zł,7 333 zł/m²,60,3,"Piętro
3/4",balkon,zapytaj,wtórny,brak,blok,nie,miejskie
647,Apartament premium w idealnej lokalizacji!,"Gdynia, Orłowo, Bernadowska",1 990 000 zł,25 881 zł/m²,"76,89",3,"Piętro
2/2",balkon,garaż/miejsce parkingowe,wtórny,2017,blok,tak,miejskie
648,2 pokoje Gdynia Kamienna Góra-bez pośredników,"Gdynia, Kamienna Góra",705 000 zł,14 100 zł/m²,50,2,"Piętro
1/2",balkon,zapytaj,wtórny,1956,kamienica,nie,miejskie
649,2 pokojowy apartament blisko morza,"Gdynia, Redłowo, Zwycięstwa",683 424 zł,15 120 zł/m²,"45,2",2,"Piętro
4/8",balkon,garaż/miejsce parkingowe,pierwotny,2022,brak,nie,zapytaj
650,Apartament blisko morza. 10 min do Mola w Orłowie,"Gdynia, Orłowo",879 920 zł,17 000 zł/m²,"51,76",2,"Piętro
parter/3",taras,garaż/miejsce parkingowe,wtórny,2008,apartamentowiec,tak,miejskie
651,"Bdb lokalizacja,sąsiedztwo lasu,10min.do cent.Gdyn","Gdynia, Witomino, Witomino-Radiostacja",483 000 zł,8 944 zł/m²,54,3,"Piętro
9/10",balkon,zapytaj,wtórny,brak,blok,tak,miejskie
652,Mieszkanie W Świetnej Lokalizacji Po Remoncie,"Gdynia, Chylonia",436 000 zł,11 474 zł/m²,38,2,"Piętro
4/10",balkon,zapytaj,wtórny,brak,blok,nie,miejskie
653,"Gdynia Karwiny 1- 63 m2,3pokoje,dobra lokalizacja","Gdynia, Karwiny",460 000 zł,7 302 zł/m²,63,3,"Piętro
4/4",balkon,zapytaj,wtórny,brak,blok,nie,miejskie
654,Mieszkanie 3-pok. | DUŻY BALKON | NOWY ETAP,"Gdynia, Chylonia, ul. Chylońska 104 -110",Zapytaj o cenę,,"58,53",3,"Piętro
2/7",zapytaj,garaż/miejsce parkingowe,pierwotny,2022,blok,tak,miejskie
655,Mieszkanie 3-pok. | DUŻY BALKON | NOWY ETAP,"Gdynia, Chylonia, ul. Chylońska 104 -110",Zapytaj o cenę,,"59,75",3,"Piętro
2/7",zapytaj,garaż/miejsce parkingowe,pierwotny,2022,blok,tak,miejskie
656,Przedsprzedaż! Twoja Dąbrowa! 3pok słoneczny salon,"Gdynia, Dąbrowa",618 628 zł,11 600 zł/m²,"53,33",3,"Piętro
2/3",balkon,garaż/miejsce parkingowe,pierwotny,2022,apartamentowiec,tak,miejskie
657,Kameralna inwestycja w otulinie lasu,"Gdynia, Mały Kack",670 000 zł,12 407 zł/m²,54,2,"Piętro
2/2",taras,garaż/miejsce parkingowe,pierwotny,2022,blok,tak,miejskie
658,"Mieszkanie 3 pok.Gdynia Orłowo,blisko morze.","Gdynia, Orłowo, ul. Orłowska",1 290 000 zł,18 529 zł/m²,"69,62",3,"Piętro
2/3",zapytaj,zapytaj,wtórny,1938,blok,nie,gazowe
659,Sprzedam mieszkanie 4 pokoje z balkonem,"Gdynia, Pustki Cisowskie-Demptowo, ul. Borowikowa",530 000 zł,7 923 zł/m²,"66,89",4,"Piętro
3/3",balkon,zapytaj,wtórny,1983,blok,nie,miejskie
660,Słoneczne mieszkanie z widokiem w Redłowie,"Gdynia, Redłowo",560 000 zł,10 566 zł/m²,53,3,"Piętro
1/10",balkon,zapytaj,wtórny,brak,blok,tak,miejskie
661,"Mieszkanie w samym centrum Gdyni, Środmieście","Gdynia, Śródmieście, Centrum",499 000 zł,13 861 zł/m²,36,2,"Piętro
3/4",zapytaj,zapytaj,wtórny,brak,kamienica,nie,zapytaj
662,Mieszkanie 101m2 + 66m2 pomieszczeń przynależnych,"Gdynia, Działki Leśne, Witomińska",890 000 zł,8 794 zł/m²,"101,2",5,"Piętro
parter/2",ogródek,garaż/miejsce parkingowe,wtórny,1938,kamienica,nie,gazowe
663,Czteropokojowe mieszkanie w Orłowie!!!,"Gdynia, Orłowo, Zwycięstwa",729 000 zł,9 113 zł/m²,80,4,"Piętro
1/3",zapytaj,zapytaj,wtórny,brak,kamienica,nie,zapytaj
664,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
665,Przytulne mieszkanie w spokojnej okolicy,"Gdynia, Wzgórze Św. Maksymiliana, gen. Józefa Hallera",750 000 zł,10 135 zł/m²,74,3,"Piętro
3/3",zapytaj,zapytaj,wtórny,brak,brak,nie,zapytaj
666,Mieszkanie inwestycyjne w centrum Gdyni,"Gdynia, Śródmieście, Wójta Radtkego",866 700 zł,12 994 zł/m²,"66,7",4,"Piętro
5/5",taras,zapytaj,wtórny,brak,brak,nie,zapytaj
667,3 pokoje po remoncie z widokiem na morze !!!,"Gdynia, Oksywie, płk. Stanisława Dąbka",469 000 zł,9 769 zł/m²,"48,01",3,"Piętro
3/4",balkon,garaż/miejsce parkingowe,wtórny,1978,blok,tak,miejskie
668,Inwestycyjne mieszkanie dwupokojowe w Gdyni.,"Gdynia, Cisowa, Chylońska",385 000 zł,8 499 zł/m²,"45,3",2,"Piętro
1/4",balkon,zapytaj,wtórny,1974,blok,nie,zapytaj
669,Komfortowe mieszkanie po generalnym remoncie 3 pok,"Gdynia, Karwiny, Leopolda Staffa",615 000 zł,11 182 zł/m²,55,3,"Piętro
2/4",balkon,garaż/miejsce parkingowe,wtórny,1990,blok,nie,zapytaj
670,Apartament z widokiem w Gdyni Redłowie.,"Gdynia, Redłowo",755 000 zł,15 283 zł/m²,"49,4",2,"Piętro
3/7",taras,garaż/miejsce parkingowe,wtórny,2020,apartamentowiec,tak,miejskie
671,Wykończony Apartament w otulinie lasu w Orłowie,"Gdynia, Orłowo, Bernadowska",3 499 000 zł,30 426 zł/m²,115,4,"Piętro
2/2","balkon, taras",garaż/miejsce parkingowe,wtórny,2019,brak,nie,zapytaj
672,Wyjątkowy Apartament z widokiem na las w Orłowie,"Gdynia, Orłowo, Bernadowska",3 399 000 zł,34 571 zł/m²,"98,32",4,"Piętro
1/2",balkon,garaż/miejsce parkingowe,wtórny,2020,apartamentowiec,tak,zapytaj
673,Mieszkanie 2 w 1 z widokiem na morze!,"Gdynia, Kamienna Góra, Żołnierzy I Armii Wojska Polskiego",1 399 000 zł,11 856 zł/m²,118,4,"Piętro
10/11",zapytaj,zapytaj,wtórny,brak,brak,nie,zapytaj
